line_id,source,source_line,label,speaker,emotion,intensity,pace,volume,energy,fallback_voice,text,delivery,rationale,approval,notes
eternum_emotional_tts_fixture_0002_9a46fb59,fixtures/eternum_sample.rpy,3,emotional_tts_fixture,Alex,teasing,0.48,normal,normal,bright,af_sarah,"Took you long enough, mister hero.","restrained, playful, bright energy",teasing cue,,
eternum_emotional_tts_fixture_0006_cda748b4,fixtures/eternum_sample.rpy,7,emotional_tts_fixture,Penelope,teasing,0.48,normal,normal,bright,af_heart,You look ridiculous when you try to act brave.,"restrained, playful, bright energy",teasing cue,,
eternum_emotional_tts_fixture_0009_68c55c43,fixtures/eternum_sample.rpy,10,emotional_tts_fixture,Alex,teasing,0.48,normal,normal,bright,af_sarah,"Oh, sure. Very carefully. While holding my hand.","restrained, playful, bright energy",teasing cue,,
eternum_emotional_tts_fixture_0004_bc88795c,fixtures/eternum_sample.rpy,5,emotional_tts_fixture,Annie,hurt,0.52,slow,soft,restrained,bf_lily,"No, that's fine. I didn't expect you to remember.","clear but controlled, guarded, soft volume",hurt cue,,
eternum_emotional_tts_fixture_0011_d5281d6d,fixtures/eternum_sample.rpy,12,emotional_tts_fixture,Annie,hurt,0.52,slow,soft,restrained,bf_lily,Whatever. Do what you want.,"clear but controlled, guarded, soft volume",hurt cue,,
eternum_emotional_tts_fixture_0015_88586bf6,fixtures/eternum_sample.rpy,16,emotional_tts_fixture,Luna,hurt,0.52,slow,soft,restrained,af_nova,I missed you.,"clear but controlled, guarded, soft volume",hurt cue,,
eternum_emotional_tts_fixture_0003_c2c5876b,fixtures/eternum_sample.rpy,4,emotional_tts_fixture,Nova,afraid,0.8,quick,raised,intense,af_jessica,"Hide. Please, just hide!","strong, tense, quick pace",fear cue; exclamation,,
eternum_emotional_tts_fixture_0010_111b0afb,fixtures/eternum_sample.rpy,11,emotional_tts_fixture,Nova,afraid,0.8,quick,raised,intense,af_jessica,Run!,"strong, tense, quick pace",fear cue; exclamation,,
eternum_emotional_tts_fixture_0008_f56aad2d,fixtures/eternum_sample.rpy,9,emotional_tts_fixture,Luna,afraid,0.78,quick,soft,intense,af_nova,I am not scared. I am just... thinking very carefully.,"strong, tense, quick pace",fear cue; ellipsis,,
eternum_emotional_tts_fixture_0001_46f91bd8,fixtures/eternum_sample.rpy,2,emotional_tts_fixture,Luna,relieved,0.65,slow,soft,restrained,af_nova,You really came back...,"clear but controlled, softened, slow pace",relief cue; ellipsis,,
eternum_emotional_tts_fixture_0012_2f446b8b,fixtures/eternum_sample.rpy,13,emotional_tts_fixture,Dalia,relieved,0.55,slow,soft,restrained,af_sky,Thank god. You're safe.,"clear but controlled, softened, slow pace",relief cue,,
eternum_emotional_tts_fixture_0007_af2afeb0,fixtures/eternum_sample.rpy,8,emotional_tts_fixture,Nancy,afraid,0.68,quick,soft,intense,af_nicole,Don't move. Something is outside the door.,"clear but controlled, tense, quick pace",fear cue,,
eternum_emotional_tts_fixture_0014_26a14f9e,fixtures/eternum_sample.rpy,15,emotional_tts_fixture,Nancy,afraid,0.68,quick,soft,intense,af_nicole,Please tell me you heard that too.,"clear but controlled, tense, quick pace",fear cue,,
eternum_emotional_tts_fixture_0013_406d3091,fixtures/eternum_sample.rpy,14,emotional_tts_fixture,Penelope,teasing,0.48,normal,normal,bright,af_heart,"Cute. Completely wrong, but cute.","restrained, playful, bright energy",teasing cue,,
eternum_emotional_tts_fixture_0005_246f8fed,fixtures/eternum_sample.rpy,6,emotional_tts_fixture,Dalia,sad,0.58,slow,soft,low,af_sky,"For a second there, I thought we had lost you.","clear but controlled, sad, slow pace, soft volume",sadness cue,,
